epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4694,1.18188,2.38629,1.28366,0.00563,0.66667,0.30706,0.229,1.06967,3.20763,1.05773,0.0706667,0.00325926,0.00325926
2,31.1884,1.20342,1.21012,1.24109,0.93227,0.73938,0.83579,0.6644,0.85115,2.38186,0.99285,0.0406014,0.00652733,0.00652733
3,46.4416,1.1966,1.06932,1.22777,0.92045,0.91374,0.975,0.6365,0.95735,1.64747,1.04651,0.0104701,0.00972939,0.00972939
4,61.7452,1.20166,1.01773,1.21444,0.95772,1,0.995,0.7084,1.12403,1.01428,1.01907,0.009703,0.009703,0.009703
5,77.125,1.19575,1.00037,1.2205,0.97838,1,0.995,0.78986,0.93114,1.01273,0.99903,0.009604,0.009604,0.009604
6,92.5834,1.19741,0.9402,1.21149,0.92986,0.99092,0.995,0.74973,1.02131,0.794,1.04439,0.009505,0.009505,0.009505
7,108.006,1.19705,0.92327,1.21127,0.90166,0.99038,0.995,0.75178,1.07048,0.81139,1.06574,0.009406,0.009406,0.009406
8,123.558,1.1838,0.88981,1.22157,0.98773,1,0.995,0.83103,0.84555,0.70578,1.00156,0.009307,0.009307,0.009307
9,138.902,1.17691,0.86234,1.21043,0.98743,0.91667,0.92022,0.77513,0.82413,0.88115,0.96565,0.009208,0.009208,0.009208
10,154.263,1.17009,0.82632,1.2109,0.96159,1,0.995,0.79669,0.80772,0.64401,0.95617,0.009109,0.009109,0.009109
11,169.698,1.14753,0.79944,1.19342,0.95767,0.99043,0.995,0.75038,1.00771,0.68696,1.02964,0.00901,0.00901,0.00901
12,185.26,1.15384,0.7719,1.20184,0.73273,0.88968,0.87741,0.70929,0.98788,0.98787,1.07132,0.008911,0.008911,0.008911
13,201.426,1.15679,0.76489,1.20155,0.97764,1,0.995,0.79137,0.84991,0.59781,0.98298,0.008812,0.008812,0.008812
14,217.041,1.12503,0.7466,1.17628,0.9632,1,0.995,0.82031,0.85941,0.62936,0.98353,0.008713,0.008713,0.008713
15,232.662,1.1209,0.73073,1.18518,0.97118,1,0.995,0.82439,0.78706,0.59046,0.9619,0.008614,0.008614,0.008614
16,248.226,1.13565,0.73812,1.19189,0.96229,1,0.995,0.84681,0.82745,0.57636,0.97915,0.008515,0.008515,0.008515
17,263.967,1.11425,0.71141,1.17659,0.96105,1,0.995,0.82634,0.87183,0.67815,0.99894,0.008416,0.008416,0.008416
18,279.58,1.10344,0.70806,1.18159,0.97482,1,0.995,0.77503,0.80718,0.72188,0.97683,0.008317,0.008317,0.008317
19,295.115,1.10025,0.68876,1.16356,0.9693,1,0.995,0.81416,0.80436,0.5319,0.99854,0.008218,0.008218,0.008218
